=== PACMAN (explicit) ===
waybar 0.14.0-6
weechat 4.8.1-2
wget 1.25.0-3
which 2.23-1
wine 11.1-2
wine-mono 10.4.1-1
wireguard-go-git 0.0.20250522.r0.gf333402-3
wireguard-tools 1.0.20250521-1
wl-clipboard 1:2.2.1-3
woeusb-ng 0.2.12-3
woff2-font-awesome 7.1.0-1
words 2.1-8
xbindkeys 1.8.7-5
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-server-devel 21.1.21-1
xorg-server-xephyr 21.1.21-1
xorg-server-xnest 21.1.21-1
xorg-server-xvfb 21.1.21-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xfd 1.1.5-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.9-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yad 14.2-1
yay 12.5.7-1
ydotool 1.0.4-2
yt-dlp 2025.12.08-2
yubikey-manager 1:5.8.0-2
zoom 6.7.2-1

=== FLATPAK ===
BlueBubbles	app.bluebubbles.BlueBubbles	1.15.0.0	stable	system
PrusaSlicer	com.prusa3d.PrusaSlicer	2.9.0	stable	system
Vesktop	dev.vencord.Vesktop	1.5.5	stable	system

=== PIP (user) ===

=== PIPX ===

=== NPM (global) ===
/home/ifit/.nvm/versions/node/v24.12.0/lib
├── corepack@0.34.5
└── npm@11.6.2


=== CARGO ===

=== GO BINARIES ===
samlvpn
smashing
